Experiment Accession	Peak Accession	Biosample	Target	Lab	RFA
ENCSR535DIA	ENCFF311QUH	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens GLIS2	GLIS2	"Michael Snyder, Stanford"	ENCODE3
ENCSR701RXW	ENCFF224OXG	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF530	ZNF530	"Michael Snyder, Stanford"	ENCODE3
ENCSR304AMN	ENCFF789GNK	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens IKZF3	IKZF3	"Michael Snyder, Stanford"	ENCODE3
ENCSR231YFE	ENCFF356WOE	Homo sapiens MCF-7	ZBTB33	"Michael Snyder, Stanford"	ENCODE3
ENCSR997NGQ	ENCFF137OGC	Homo sapiens K562	XRCC3	"Michael Snyder, Stanford"	ENCODE3
ENCSR146BGM	ENCFF822FUJ	Homo sapiens gastroesophageal sphincter tissue female adult (51 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR845BCL	ENCFF643AUL	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF639	ZNF639	"Kevin White, UChicago"	ENCODE3
ENCSR194KWL	ENCFF355FWU	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF704	ZNF704	"Michael Snyder, Stanford"	ENCODE3
ENCSR091GVJ	ENCFF627RSK	Homo sapiens K562 stably expressing ATF1	ATF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR849DFF	ENCFF700GPU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens PBX2	PBX2	"Richard Myers, HAIB"	ENCODE3
ENCSR482TWQ	ENCFF345VPL	Homo sapiens GM12878	RAD51	"Michael Snyder, Stanford"	ENCODE3
ENCSR569ARC	ENCFF061ZIT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NFYC	NFYC	"Richard Myers, HAIB"	ENCODE3
ENCSR071NFQ	ENCFF221BLR	Homo sapiens GM23338 originated from GM23248	STAT1	"Richard Myers, HAIB"	ENCODE3
ENCSR798EGJ	ENCFF469DNJ	Homo sapiens A549	RNF2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR711UOA	ENCFF036IPI	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF837	ZNF837	"Michael Snyder, Stanford"	ENCODE3
ENCSR365DQH	ENCFF303QIA	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF211	ZNF211	"Michael Snyder, Stanford"	ENCODE3
ENCSR184SVO	ENCFF011OPT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB26	ZBTB26	"Richard Myers, HAIB"	ENCODE3
ENCSR076EZB	ENCFF758SMD	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens KLF9	KLF9	"Michael Snyder, Stanford"	ENCODE3
ENCSR979QYJ	ENCFF986SXD	Homo sapiens K562	MNT	"Michael Snyder, Stanford"	ENCODE3
ENCSR897RVP	ENCFF241FHJ	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF514	ZNF514	"Michael Snyder, Stanford"	ENCODE3
ENCSR314BBS	ENCFF918BZG	Homo sapiens K562 stably expressing PTTG1	PTTG1	"Michael Snyder, Stanford"	ENCODE3
ENCSR130PDE	ENCFF852ZIK	Homo sapiens K562 stably expressing NR4A1	NR4A1	"Michael Snyder, Stanford"	ENCODE3
ENCSR714YZG	ENCFF624RGO	Homo sapiens HepG2	ETV4	"Richard Myers, HAIB"	ENCODE3
ENCSR543KOA	ENCFF423DNE	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB12	ZBTB12	"Michael Snyder, Stanford"	ENCODE3
ENCSR145XQO	ENCFF626TYH	Homo sapiens GM12878	HDGF	"Michael Snyder, Stanford"	ENCODE3
ENCSR018MSO	ENCFF283UWH	Homo sapiens K562 stably expressing ZNF148	ZNF148	"Kevin White, UChicago"	ENCODE3
ENCSR679STZ	ENCFF499WWI	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF792	ZNF792	"Michael Snyder, Stanford"	ENCODE3
ENCSR443MVV	ENCFF351OYP	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens PRDM4	PRDM4	"Michael Snyder, Stanford"	ENCODE3
ENCSR713SXF	ENCFF863ZIN	Homo sapiens cardiac muscle cell originated from RUES2	CTCF	"Bradley Bernstein, Broad"	ENCODE3
ENCSR704IGU	ENCFF339GYF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZGPAT	ZGPAT	"Richard Myers, HAIB"	ENCODE3
ENCSR387JKT	ENCFF906HIO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KDM3A	KDM3A	"Richard Myers, HAIB"	ENCODE3
ENCSR635GTR	ENCFF209WPT	Homo sapiens K562 stably expressing TEAD2	TEAD2	"Michael Snyder, Stanford"	ENCODE3
ENCSR094ZCF	ENCFF672NSF	Homo sapiens MCF-7 stably expressing CEBPG	CEBPG	"Kevin White, UChicago"	ENCODE3
ENCSR670YPQ	ENCFF620CHN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens DMAP1	DMAP1	"Richard Myers, HAIB"	ENCODE3
ENCSR485OYR	ENCFF384TZN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB25	ZBTB25	"Richard Myers, HAIB"	ENCODE3
ENCSR201GGK	ENCFF489SJO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NFIL3	NFIL3	"Richard Myers, HAIB"	ENCODE3
ENCSR156CWW	ENCFF469JVY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens DNMT3B	DNMT3B	"Richard Myers, HAIB"	ENCODE3
ENCSR714EQS	ENCFF683IRK	Homo sapiens transverse colon tissue female adult (53 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR715UCI	ENCFF453YPR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SOX13	SOX13	"Richard Myers, HAIB"	ENCODE3
ENCSR666QNP	ENCFF314CDT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD3	TEAD3	"Richard Myers, HAIB"	ENCODE3
ENCSR603XLW	ENCFF345IHK	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF589	ZNF589	"Kevin White, UChicago"	ENCODE3
ENCSR848QXX	ENCFF141CBF	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens TSC22D1	TSC22D1	"Michael Snyder, Stanford"	ENCODE3
ENCSR265WJC	ENCFF536WWR	Homo sapiens MCF-7 stably expressing KLF4	KLF4	"Kevin White, UChicago"	ENCODE3
ENCSR071YVR	ENCFF630HYZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KMT2B	KMT2B	"Richard Myers, HAIB"	ENCODE3
ENCSR239ZLZ	ENCFF256NXT	Homo sapiens K562 stably expressing FOSL1	FOSL1	"Kevin White, UChicago"	ENCODE3
ENCSR157CEN	ENCFF978GOF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF205	ZNF205	"Richard Myers, HAIB"	ENCODE3
ENCSR993LMB	ENCFF398TIE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TGIF2	TGIF2	"Richard Myers, HAIB"	ENCODE3
ENCSR194IJN	ENCFF466PKS	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF766	ZNF766	"Kevin White, UChicago"	ENCODE3
ENCSR468DVP	ENCFF539GWU	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11	ZBTB11	"Michael Snyder, Stanford"	ENCODE3
ENCSR831EIW	ENCFF399ZHO	Homo sapiens HEK293T	FOXM1	"Michael Snyder, Stanford"	ENCODE3
ENCSR894SXR	ENCFF429ZSH	Homo sapiens HepG2	TCF12	"Michael Snyder, Stanford"	ENCODE3
ENCSR772EEN	ENCFF936WES	Homo sapiens K562 stably expressing RELA	RELA	"Michael Snyder, Stanford"	ENCODE3
ENCSR117WTM	ENCFF683VTL	Homo sapiens K562 stably expressing ZNF24	ZNF24	"Michael Snyder, Stanford"	ENCODE3
ENCSR746XEG	ENCFF057NHJ	Homo sapiens GM12878	NFXL1	"Michael Snyder, Stanford"	ENCODE3
ENCSR057DTZ	ENCFF083GTV	Homo sapiens GM12878 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11	ZBTB11	"Michael Snyder, Stanford"	ENCODE3
ENCSR108TYQ	ENCFF060REJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens GATAD1	GATAD1	"Richard Myers, HAIB"	ENCODE3
ENCSR725ELR	ENCFF734FBR	Homo sapiens MCF-7	LARP7	"Michael Snyder, Stanford"	ENCODE3
ENCSR697YLJ	ENCFF082DOH	Homo sapiens K562	CBFA2T3	"Michael Snyder, Stanford"	ENCODE3
ENCSR699PVC	ENCFF543GET	Homo sapiens K562	CBFA2T2	"Michael Snyder, Stanford"	ENCODE3
ENCSR119VCX	ENCFF215JWS	Homo sapiens K562	PHF21A	"Michael Snyder, Stanford"	ENCODE3
ENCSR072EUE	ENCFF029TZI	Homo sapiens OCI-LY1	CTCF	"Bradley Bernstein, Broad"	ENCODE3
ENCSR887LYD	ENCFF795QXV	Homo sapiens HepG2	SMARCC2	"Michael Snyder, Stanford"	ENCODE3
ENCSR984MDV	ENCFF217CVI	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF24	ZNF24	"Michael Snyder, Stanford"	ENCODE3
ENCSR213HBY	ENCFF563WUP	Homo sapiens K562	TOE1	"Michael Snyder, Stanford"	ENCODE3
ENCSR621ATC	ENCFF058VGZ	Homo sapiens K562	ZNF184	"Michael Snyder, Stanford"	ENCODE3
ENCSR441VHN	ENCFF448JWW	Homo sapiens GM12878	IKZF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR412YGM	ENCFF828NYA	Homo sapiens GM12878	ZSCAN29	"Michael Snyder, Stanford"	ENCODE3
ENCSR573OJP	ENCFF342NSW	Homo sapiens MCF-7	NCOA3	"Michael Snyder, Stanford"	ENCODE3
ENCSR437GBJ	ENCFF002XEC	Homo sapiens GM12878	NFATC3	"Michael Snyder, Stanford"	ENCODE3
ENCSR912ATU	ENCFF607VIS	Homo sapiens MCF-7	ZNF217	"Michael Snyder, Stanford"	ENCODE3
ENCSR372GIN	ENCFF864AYJ	Homo sapiens GM12878	CBX5	"Richard Myers, HAIB"	ENCODE3
ENCSR997GPO	ENCFF724ZGR	Homo sapiens HEK293T	NFRKB	"Michael Snyder, Stanford"	ENCODE3
ENCSR223MLH	ENCFF258GDS	Homo sapiens K562	BRCA1	"Michael Snyder, Stanford"	ENCODE3
ENCSR336PTS	ENCFF406EOR	Homo sapiens parathyroid adenoma tissue male adult (65 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE3
ENCSR761LRR	ENCFF320KEW	Homo sapiens MCF-7	ZNF512B	"Michael Snyder, Stanford"	ENCODE3
ENCSR388QZF	ENCFF355MNE	Homo sapiens K562	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR608HVP	ENCFF453MMH	Homo sapiens K562 stably expressing KLF13	KLF13	"Michael Snyder, Stanford"	ENCODE3
ENCSR017GBO	ENCFF362JHQ	Homo sapiens K562 stably expressing TFDP1	TFDP1	"Kevin White, UChicago"	ENCODE3
ENCSR578CXC	ENCFF176ATR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF644	ZNF644	"Richard Myers, HAIB"	ENCODE3
ENCSR925QAW	ENCFF517FAL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HMG20B	HMG20B	"Richard Myers, HAIB"	ENCODE3
ENCSR909GJR	ENCFF372DFI	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MXD3	MXD3	"Richard Myers, HAIB"	ENCODE3
ENCSR531VIJ	ENCFF563KSY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MIER3	MIER3	"Richard Myers, HAIB"	ENCODE3
ENCSR954KIC	ENCFF602VMT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KAT8	KAT8	"Richard Myers, HAIB"	ENCODE3
ENCSR765MKZ	ENCFF815SBJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens DRAP1	DRAP1	"Richard Myers, HAIB"	ENCODE3
ENCSR494ZGC	ENCFF832HNJ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELF4	ELF4	"Michael Snyder, Stanford"	ENCODE3
ENCSR257XVY	ENCFF451LLC	Homo sapiens K562 stably expressing ZNF83	ZNF83	"Kevin White, UChicago"	ENCODE3
ENCSR620VIC	ENCFF998LIR	Homo sapiens K562 stably expressing CEBPG	CEBPG	"Kevin White, UChicago"	ENCODE3
ENCSR835TCD	ENCFF566PEY	Homo sapiens K562 stably expressing HDAC8	HDAC8	"Michael Snyder, Stanford"	ENCODE3
ENCSR382AIB	ENCFF748EAO	Homo sapiens K562 stably expressing DDX20	DDX20	"Michael Snyder, Stanford"	ENCODE3
ENCSR455DOO	ENCFF807WYN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens RCOR2	RCOR2	"Richard Myers, HAIB"	ENCODE3
ENCSR920ASP	ENCFF910JTR	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZFX	ZFX	"Kevin White, UChicago"	ENCODE3
ENCSR359NFW	ENCFF640ZIN	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens USF2	USF2	"Kevin White, UChicago"	ENCODE3
ENCSR497JLX	ENCFF128AZO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD1	TEAD1	"Richard Myers, HAIB"	ENCODE3
ENCSR440VKE	ENCFF739AJO	Homo sapiens K562 stably expressing ADNP	ADNP	"Kevin White, UChicago"	ENCODE3
ENCSR604UJV	ENCFF992KZC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens IRF2	IRF2	"Richard Myers, HAIB"	ENCODE3
ENCSR093FKD	ENCFF950IYB	Homo sapiens K562 stably expressing CREB3	CREB3	"Michael Snyder, Stanford"	ENCODE3
ENCSR662EOU	ENCFF125ABN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NR2F1	NR2F1	"Richard Myers, HAIB"	ENCODE3
ENCSR189YMA	ENCFF433ERT	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens VEZF1	VEZF1	"Kevin White, UChicago"	ENCODE3
ENCSR011PEI	ENCFF192MEM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF175	ZNF175	"Kevin White, UChicago"	ENCODE3
ENCSR415AEB	ENCFF543CJD	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF48	ZNF48	"Richard Myers, HAIB"	ENCODE3
ENCSR639IIZ	ENCFF951QPJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CEBPG	CEBPG	"Richard Myers, HAIB"	ENCODE3
ENCSR560SEP	ENCFF850FVG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens RXRB	RXRB	"Richard Myers, HAIB"	ENCODE3
ENCSR195QFV	ENCFF180XUM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF3	ZNF3	"Richard Myers, HAIB"	ENCODE3
ENCSR167JBG	ENCFF928BHE	Homo sapiens K562 stably expressing DIDO1	DIDO1	"Michael Snyder, Stanford"	ENCODE3
ENCSR792MZV	ENCFF351COM	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MYRF	MYRF	"Richard Myers, HAIB"	ENCODE3
ENCSR475SOC	ENCFF763LNJ	Homo sapiens MCF-7 stably expressing ELF1	ELF1	"Kevin White, UChicago"	ENCODE3
ENCSR174GOO	ENCFF529NGU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HMGXB4	HMGXB4	"Richard Myers, HAIB"	ENCODE3
ENCSR410DWC	ENCFF232TVE	Homo sapiens K562 stably expressing PYGO2	PYGO2	"Michael Snyder, Stanford"	ENCODE3
ENCSR867MET	ENCFF906PUB	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens THRB	THRB	"Michael Snyder, Stanford"	ENCODE3
ENCSR740NPG	ENCFF678TXX	Homo sapiens K562 stably expressing BACH1	BACH1	"Kevin White, UChicago"	ENCODE3
ENCSR981CID	ENCFF871GVU	Homo sapiens testis tissue male adult (54 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR072GJV	ENCFF156UNQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HMG20A	HMG20A	"Richard Myers, HAIB"	ENCODE3
ENCSR616WEG	ENCFF165EYN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HBP1	HBP1	"Richard Myers, HAIB"	ENCODE3
ENCSR706BJO	ENCFF991VAW	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11	ZBTB11	"Kevin White, UChicago"	ENCODE3
ENCSR490LWA	ENCFF456USL	Homo sapiens K562 stably expressing CEBPG	CEBPG	"Michael Snyder, Stanford"	ENCODE3
ENCSR005NMT	ENCFF375SIS	Homo sapiens K562 stably expressing ID3	ID3	"Michael Snyder, Stanford"	ENCODE3
ENCSR178NTX	ENCFF136KLM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens CUX1	CUX1	"Kevin White, UChicago"	ENCODE3
ENCSR818DQV	ENCFF493DXA	Homo sapiens K562 stably expressing MAFG	MAFG	"Michael Snyder, Stanford"	ENCODE3
ENCSR038RXU	ENCFF158YBV	Homo sapiens MCF-7 stably expressing GABPA	GABPA	"Kevin White, UChicago"	ENCODE3
ENCSR031ING	ENCFF376CUV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KDM6A	KDM6A	"Richard Myers, HAIB"	ENCODE3
ENCSR462KYU	ENCFF217XUD	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens GABPB1	GABPB1	"Richard Myers, HAIB"	ENCODE3
ENCSR938ETG	ENCFF073UWB	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KLF9	KLF9	"Richard Myers, HAIB"	ENCODE3
ENCSR000BSP	ENCFF680JMZ	Homo sapiens MCF-7	REST	"Richard Myers, HAIB"	ENCODE2
ENCSR000ATS	ENCFF233GVJ	Homo sapiens H1	SUZ12	"Bradley Bernstein, Broad"	ENCODE2
ENCSR000EFH	ENCFF124ORZ	Homo sapiens IMR-90	MAFK	"Michael Snyder, Stanford"	ENCODE2
ENCSR000AVA	ENCFF338IDU	Homo sapiens H1	CHD7	"Bradley Bernstein, Broad"	ENCODE2
ENCSR000BUS	ENCFF317XQY	Homo sapiens Ishikawa	FOXM1	"Richard Myers, HAIB"	ENCODE2
ENCSR000BHC	ENCFF917XFN	Homo sapiens GM12878	ZBTB33	"Richard Myers, HAIB"	ENCODE2
ENCSR000EGO	ENCFF661EUX	Homo sapiens K562	RFX5	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EDB	ENCFF143SAQ	Homo sapiens HeLa-S3	BRCA1	"Michael Snyder, Stanford"	ENCODE2
ENCSR000BUC	ENCFF695MMQ	Homo sapiens A549	RAD21	"Richard Myers, HAIB"	ENCODE2
ENCSR000EHD	ENCFF947AEO	Homo sapiens K562	CHD2	"Michael Snyder, Stanford"	ENCODE2
ENCSR000DLB	ENCFF612VSV	Homo sapiens GM13977	CTCF	"Vishwanath Iyer, UTA"	ENCODE2
ENCSR000AHF	ENCFF075TIU	Homo sapiens MCF-7	TAF1	"Richard Myers, HAIB"	ENCODE2
ENCSR000ATQ	ENCFF802HUU	Homo sapiens H1	HDAC6	"Bradley Bernstein, Broad"	ENCODE2
ENCSR000EFV	ENCFF171FVU	Homo sapiens K562	MAX	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EVR	ENCFF362PMI	Homo sapiens HepG2	ZNF274	"Peggy Farnham, USC"	ENCODE2
ENCSR000BHD	ENCFF827VVQ	Homo sapiens GM12878	PAX5	"Richard Myers, HAIB"	ENCODE2
ENCSR000BLI	ENCFF831NDQ	Homo sapiens K562	E2F6	"Richard Myers, HAIB"	ENCODE2
ENCSR000AUS	ENCFF219XEX	Homo sapiens H1	SIRT6	"Bradley Bernstein, Broad"	ENCODE2
ENCSR000BQI	ENCFF301CNM	Homo sapiens HepG2	CEBPB	"Richard Myers, HAIB"	ENCODE2
ENCSR000BRI	ENCFF346JDW	Homo sapiens GM12878	RUNX3	"Richard Myers, HAIB"	ENCODE2
ENCSR000BSW	ENCFF438PCR	Homo sapiens Ishikawa	TEAD4	"Richard Myers, HAIB"	ENCODE2
ENCSR000BSU	ENCFF398OOD	Homo sapiens MCF-7	JUND	"Richard Myers, HAIB"	ENCODE2
ENCSR000BSX	ENCFF916FTX	Homo sapiens Ishikawa	USF1	"Richard Myers, HAIB"	ENCODE2
ENCSR000DNZ	ENCFF206BGR	Homo sapiens K562	ATF1	"Kevin Struhl, HMS"	ENCODE2
ENCSR000APF	ENCFF183VNT	Homo sapiens osteoblast	CTCF	"Bradley Bernstein, Broad"	ENCODE2
ENCSR000DVQ	ENCFF209PDE	Homo sapiens fibroblast of villous mesenchyme	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000EUP	ENCFF994IHO	Homo sapiens H1	MAX	"Peggy Farnham, USC"	ENCODE2
ENCSR000BMI	ENCFF114CWH	Homo sapiens GM12878	SRF	"Richard Myers, HAIB"	ENCODE2
ENCSR000BMH	ENCFF398UQZ	Homo sapiens K562	YY1	"Richard Myers, HAIB"	ENCODE2
ENCSR000ECP	ENCFF644XCT	Homo sapiens HeLa-S3	CHD2	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EVS	ENCFF760KQS	Homo sapiens HepG2	NR2C2	"Peggy Farnham, USC"	ENCODE2
ENCSR000EGF	ENCFF951KHS	Homo sapiens K562	POLR2AphosphoS2	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EWV	ENCFF336XFC	Homo sapiens MCF-7	GATA3	"Peggy Farnham, USC"	ENCODE2
ENCSR000BOW	ENCFF981YPH	Homo sapiens Panc1	SIN3A	"Richard Myers, HAIB"	ENCODE2
ENCSR000BKS	ENCFF784BTI	Homo sapiens K562	TAF1	"Richard Myers, HAIB"	ENCODE2
ENCSR000DTI	ENCFF229DYR	Homo sapiens cardiac muscle cell	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000DPY	ENCFF552LAX	Homo sapiens fibroblast of the aortic adventitia female	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000EFQ	ENCFF881DAT	Homo sapiens K562	ZMIZ1	"Michael Snyder, Stanford"	ENCODE2
ENCSR000DTW	ENCFF071FSR	Homo sapiens HEK293	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000DQW	ENCFF031WEA	Homo sapiens GM06990	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000BHU	ENCFF382YJO	Homo sapiens HepG2	RXRA	"Richard Myers, HAIB"	ENCODE2
ENCSR000BHO	ENCFF886BPR	Homo sapiens H1	TAF1	"Richard Myers, HAIB"	ENCODE2
ENCSR000EYU	NA	Homo sapiens GM12878	POLR3G	"Sherman Weissman, Yale"	ENCODE2
ENCSR000BRN	ENCFF980SDE	Homo sapiens GM12878	NFIC	"Richard Myers, HAIB"	ENCODE2
ENCSR000DPS	ENCFF287MQJ	Homo sapiens AG09319	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000BGA	ENCFF067LTM	Homo sapiens PFSK-1	FOXP2	"Richard Myers, HAIB"	ENCODE2
ENCSR000DKM	ENCFF226BZE	Homo sapiens H54	POLR2A	"Vishwanath Iyer, UTA"	ENCODE2
ENCSR000BTP	ENCFF661VXV	Homo sapiens MCF-7	HDAC2	"Richard Myers, HAIB"	ENCODE2
ENCSR000ECJ	ENCFF945JJR	Homo sapiens HeLa-S3	ZKSCAN1	"Michael Snyder, Stanford"	ENCODE2
ENCSR000BHJ	ENCFF192WNJ	Homo sapiens GM12878	PAX5	"Richard Myers, HAIB"	ENCODE2
ENCSR000DZL	ENCFF012FCL	Homo sapiens GM12878	ZNF143	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EGD	ENCFF026BDA	Homo sapiens K562	BACH1	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EGX	ENCFF439TJM	Homo sapiens K562	MAFK	"Michael Snyder, Stanford"	ENCODE2
ENCSR000BVI	ENCFF866PJC	Homo sapiens HCT116	REST	"Richard Myers, HAIB"	ENCODE2
ENCSR000EAU	ENCFF292PBX	Homo sapiens GM18505	POLR2A	"Michael Snyder, Stanford"	ENCODE2
ENCSR000DUB	ENCFF030QAM	Homo sapiens HeLa-S3 G1b phase	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000DRE	ENCFF541DDH	Homo sapiens GM12865	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000BRY	ENCFF885PQR	Homo sapiens H1	TEAD4	"Richard Myers, HAIB"	ENCODE2
ENCSR000EXH	ENCFF980XAE	Homo sapiens NT2/D1	SUZ12	"Peggy Farnham, USC"	ENCODE2
ENCSR000DMC	ENCFF498EED	Homo sapiens kidney tissue male adult (22 years) and male adult (27 years) and male adult (35 years)	CTCF	"Vishwanath Iyer, UTA"	ENCODE2
ENCSR000BMN	ENCFF096JDA	Homo sapiens HeLa-S3	REST	"Richard Myers, HAIB"	ENCODE2
ENCSR000BNN	ENCFF823RYG	Homo sapiens K562	THAP1	"Richard Myers, HAIB"	ENCODE2
ENCSR000DWE	ENCFF736NYC	Homo sapiens K562	CTCF	"John Stamatoyannopoulos, UW"	ENCODE2
ENCSR000BTK	ENCFF689GEM	Homo sapiens HL-60	GABPA	"Richard Myers, HAIB"	ENCODE2
ENCSR000EXG	ENCFF352MLK	Homo sapiens NT2/D1	YY1	"Peggy Farnham, USC"	ENCODE2
ENCSR000BMU	ENCFF383EYO	Homo sapiens H1	POU5F1	"Richard Myers, HAIB"	ENCODE2
ENCSR000ECS	ENCFF141KLW	Homo sapiens HeLa-S3	SMC3	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EBU	ENCFF731EYW	Homo sapiens H1	CHD1	"Michael Snyder, Stanford"	ENCODE2
ENCSR000BUO	ENCFF751VAZ	Homo sapiens MCF-7	TEAD4	"Richard Myers, HAIB"	ENCODE2
ENCSR000BQK	ENCFF973FKS	Homo sapiens GM12878	ATF2	"Richard Myers, HAIB"	ENCODE2
ENCSR000EBO	ENCFF156JCN	Homo sapiens H1	SIN3A	"Michael Snyder, Stanford"	ENCODE2
ENCSR000EUO	ENCFF501VJW	Homo sapiens H1	CTBP2	"Peggy Farnham, USC"	ENCODE2
ENCSR000EFE	ENCFF718BQI	Homo sapiens IMR-90	MXI1	"Michael Snyder, Stanford"	ENCODE2
ENCSR000BVD	ENCFF244LUT	Homo sapiens SK-N-SH	MAX	"Richard Myers, HAIB"	ENCODE2
ENCSR000EFS	ENCFF190CGV	Homo sapiens K562	JUN	"Michael Snyder, Stanford"	ENCODE2
