# STARR silencer cCREs							
Chr	Start	End	cCRE accession	cCRE class	CAPRA quantification	P-value	Threshold
chr6	15612580	15612745	EH38E3693196	dELS	-1.0142	4.63E-02	Robust
chr9	121496123	121496273	EH38E4506553	TF	-0.8935	4.63E-02	Robust
chr17	28582048	28582263	EH38E4158645	dELS	-0.8143	4.63E-02	Robust
chr10	2736537	2736766	EH38E3999948	CA	-0.9599	4.63E-02	Robust
chr1	31540453	31540661	EH38E3960370	CA	-0.8755	4.63E-02	Robust
chr12	14460453	14460791	EH38E1594893	dELS	-1.0140	4.63E-02	Robust
chr1	218507676	218507935	EH38E2866660	CA-H3K4me3	-0.8855	4.63E-02	Robust
chr20	41111614	41111819	EH38E2113036	dELS	-1.0143	4.64E-02	Robust
chr2	107779598	107779799	EH38E2023110	CA-CTCF	-0.8752	4.64E-02	Robust
chr5	102738077	102738305	EH38E3651627	dELS	-1.0123	4.64E-02	Robust
chr1	154571323	154571610	EH38E3980072	dELS	-0.8108	4.64E-02	Robust
chr12	89364707	89364928	EH38E3031494	dELS	-0.8986	4.64E-02	Robust
chr7	18522934	18523099	EH38E3760266	dELS	-0.8467	4.64E-02	Robust
chr17	72454805	72455001	EH38E1883440	dELS	-0.8682	4.64E-02	Robust
chr13	34157576	34157831	EH38E3060212	dELS	-0.9464	4.64E-02	Robust
chr4	141758579	141758780	EH38E4349236	CA	-0.8523	4.64E-02	Robust
chr10	126069547	126069897	EH38E2932248	CA-CTCF	-1.0109	4.64E-02	Robust
chr10	119758231	119758421	EH38E2928927	dELS	-0.6947	4.64E-02	Robust
chr2	37378492	37378755	EH38E1988206	dELS	-0.9611	4.64E-02	Robust
chr10	9456383	9456584	EH38E1447058	dELS	-0.9101	4.64E-02	Robust
chr5	13648944	13649098	EH38E4361525	dELS	-0.9908	4.65E-02	Robust
chr11	63992273	63992507	EH38E4038705	CA	-0.9923	4.65E-02	Robust
chr16	4115810	4116122	EH38E3164899	pELS	-0.9923	4.65E-02	Robust
chr7	117748415	117748669	EH38E4448668	dELS	-0.9923	4.65E-02	Robust
chr22	26977803	26978147	EH38E4279971	CA-TF	-0.9970	4.65E-02	Robust
chr3	102121579	102121827	EH38E4305751	dELS	-0.9970	4.65E-02	Robust
chr11	6646156	6646452	EH38E2942435	dELS	-0.9921	4.65E-02	Robust
chr9	5791078	5791234	EH38E2679965	dELS	-0.8395	4.65E-02	Robust
chr12	103573292	103573483	EH38E3036754	dELS	-0.8729	4.65E-02	Robust
chr18	2023053	2023251	EH38E4174719	CA	-0.9479	4.65E-02	Robust
chr2	151208414	151208565	EH38E4234845	CA-CTCF	-0.9232	4.65E-02	Robust
chr6	80703145	80703390	EH38E3718207	CA-H3K4me3	-0.9232	4.65E-02	Robust
chr2	126669162	126669340	EH38E3369850	dELS	-0.7960	4.66E-02	Robust
chr18	29605420	29605612	EH38E4178921	TF	-0.8657	4.66E-02	Robust
chr7	122093986	122094170	EH38E3796959	dELS	-0.8657	4.66E-02	Robust
chr7	152427779	152427978	EH38E2602228	CA-H3K4me3	-0.8902	4.66E-02	Robust
chr5	60748513	60748742	EH38E3639132	CA-CTCF	-0.9785	4.66E-02	Robust
chr16	48047675	48048022	EH38E1813413	dELS	-1.0037	4.66E-02	Robust
chr7	137526420	137526667	EH38E4452837	CA	-1.0037	4.66E-02	Robust
chr1	101134393	101134603	EH38E1372144	pELS	-0.7796	4.66E-02	Robust
chr22	20787210	20787546	EH38E3468845	dELS	-0.9025	4.66E-02	Robust
chr8	20506604	20506893	EH38E2615354	dELS	-1.0030	4.66E-02	Robust
chr6	33784184	33784419	EH38E2461004	dELS	-0.8255	4.66E-02	Robust
chr2	83933788	83934128	EH38E4221727	CA	-0.9978	4.67E-02	Robust
chr4	88681204	88681552	EH38E2311359	CA	-1.0035	4.67E-02	Robust
chr5	56311381	56311711	EH38E3637366	dELS	-0.9539	4.67E-02	Robust
chr11	123113881	123114074	EH38E1577814	dELS	-0.8694	4.67E-02	Robust
chr11	102192664	102193014	EH38E2981222	dELS	-0.9466	4.67E-02	Robust
chr14	104686312	104686487	EH38E4116527	TF	-0.9466	4.67E-02	Robust
chr15	44533310	44533487	EH38E1758335	dELS	-0.9466	4.67E-02	Robust
chr16	57585820	57586167	EH38E4144657	dELS	-0.9466	4.67E-02	Robust
chr21	46147446	46147796	EH38E4276391	dELS	-0.9466	4.67E-02	Robust
chr22	22472009	22472359	EH38E4278780	TF	-0.9466	4.67E-02	Robust
chrX	16845409	16845759	EH38E4514659	TF	-0.9466	4.67E-02	Robust
chr17	36222082	36222325	EH38E4160441	TF	-0.7036	4.67E-02	Robust
chr21	25806112	25806418	EH38E3452913	dELS	-0.9258	4.67E-02	Robust
chr2	169135850	169136033	EH38E4238178	TF	-1.0090	4.68E-02	Robust
chr3	169913380	169913717	EH38E2256478	CA-CTCF	-1.0090	4.68E-02	Robust
chr3	8491315	8491656	EH38E3493814	dELS	-1.0090	4.68E-02	Robust
chr9	20184598	20184944	EH38E4492299	dELS	-1.0090	4.68E-02	Robust
chr5	180526362	180526563	EH38E2437616	dELS	-0.8168	4.68E-02	Robust
chr2	79950560	79950901	EH38E4220931	dELS	-1.0089	4.68E-02	Robust
chr10	102606299	102606549	EH38E2921604	dELS	-0.9589	4.68E-02	Robust
chr6	8151249	8151592	EH38E4393810	CA	-0.9589	4.68E-02	Robust
chr13	18774097	18774340	EH38E3053847	CA-CTCF	-0.8196	4.68E-02	Robust
chr6	40848081	40848429	EH38E3707204	dELS	-0.9771	4.68E-02	Robust
chr5	112354268	112354539	EH38E3654134	dELS	-0.9511	4.68E-02	Robust
chr13	46695948	46696291	EH38E4086840	CA	-0.9959	4.68E-02	Robust
chr6	73247964	73248157	EH38E2479003	CA-CTCF	-0.9343	4.68E-02	Robust
chr10	76131108	76131438	EH38E4013934	CA	-0.9588	4.68E-02	Robust
chr21	38693085	38693246	EH38E2141868	CA-CTCF	-0.7484	4.68E-02	Robust
chr11	69162525	69162875	EH38E4040271	TF	-0.9957	4.69E-02	Robust
chr6	106059376	106059632	EH38E4412839	CA	-0.9297	4.69E-02	Robust
chr9	38692797	38692979	EH38E4495570	dELS	-0.7753	4.69E-02	Robust
chr1	241418415	241418623	EH38E3997824	CA	-0.8452	4.69E-02	Robust
chr1	10841174	10841420	EH38E1318430	dELS	-0.8899	4.69E-02	Robust
chr11	71406078	71406372	EH38E2970339	pELS	-1.0071	4.69E-02	Robust
chrX	113422462	113422778	EH38E2764907	dELS	-1.0071	4.69E-02	Robust
chr1	39537912	39538071	EH38E2804840	CA-CTCF	-0.8137	4.69E-02	Robust
chr6	20343013	20343326	EH38E3695330	CA-CTCF	-0.9211	4.69E-02	Robust
chr11	133181141	133181405	EH38E1584099	dELS	-0.9885	4.69E-02	Robust
chr7	128200456	128200799	EH38E2588782	dELS	-0.9885	4.69E-02	Robust
chrX	10434100	10434395	EH38E3924912	dELS	-1.0095	4.70E-02	Robust
chr16	17202905	17203130	EH38E4137982	dELS	-0.7759	4.70E-02	Robust
chrX	20388705	20388871	EH38E2746036	CA	-0.7759	4.70E-02	Robust
chr9	95209280	95209472	EH38E4501393	CA	-0.8814	4.70E-02	Robust
chr4	36815575	36815917	EH38E2290270	CA-CTCF	-1.0070	4.70E-02	Robust
chr9	100852165	100852481	EH38E0060541	CA-CTCF	-1.0070	4.70E-02	Robust
chr14	81129346	81129585	EH38E3107664	dELS	-0.8192	4.70E-02	Robust
chr13	52001179	52001489	EH38E3067485	dELS	-1.0033	4.70E-02	Robust
chr6	40775758	40775926	EH38E2466398	CA	-0.7763	4.70E-02	Robust
chr22	17353724	17353910	EH38E4276952	CA	-0.8698	4.70E-02	Robust
chr5	19721853	19722075	EH38E4362662	TF	-1.0067	4.70E-02	Robust
chr10	88542194	88542382	EH38E2915057	dELS	-0.8753	4.70E-02	Robust
chr13	44210684	44210886	EH38E3063822	dELS	-0.8753	4.70E-02	Robust
chr2	19532197	19532371	EH38E3328787	dELS	-0.8383	4.70E-02	Robust
chr10	1563182	1563366	EH38E3999654	TF	-0.7585	4.70E-02	Robust
chr1	36648186	36648459	EH38E2803277	dELS	-0.8250	4.71E-02	Robust
chr17	77403902	77404249	EH38E1888068	pELS	-0.9513	4.71E-02	Robust
chr1	197807217	197807561	EH38E1409308	dELS	-0.9977	4.71E-02	Robust
chr1	107530558	107530902	EH38E2828725	dELS	-0.9977	4.71E-02	Robust
chr13	77563264	77563486	EH38E3072286	CA-CTCF	-0.9977	4.71E-02	Robust
chr1	87946733	87946909	EH38E3972246	CA	-0.9996	4.71E-02	Robust
chr1	89876550	89876827	EH38E2823862	dELS	-0.9820	4.71E-02	Robust
chr9	33794595	33794910	EH38E3880422	pELS	-0.9820	4.71E-02	Robust
chr5	163770110	163770268	EH38E2427680	dELS	-0.7719	4.71E-02	Robust
chr4	154603671	154603928	EH38E3611542	dELS	-0.9507	4.71E-02	Robust
chrX	109789287	109789491	EH38E2763876	CA	-0.9431	4.71E-02	Robust
chr12	40617008	40617212	EH38E3011852	dELS	-1.0101	4.71E-02	Robust
chr1	221669463	221669719	EH38E1424842	dELS	-0.9512	4.71E-02	Robust
chr1	156547394	156547594	EH38E2840960	dELS	-0.8724	4.71E-02	Robust
chr12	132164549	132164762	EH38E3052687	CA-CTCF	-0.9993	4.72E-02	Robust
chr5	73596744	73597019	EH38E3642928	CA-CTCF	-1.0027	4.72E-02	Robust
chr17	74794561	74794781	EH38E3242672	dELS	-0.8512	4.72E-02	Robust
chr4	134177690	134177946	EH38E3605184	dELS	-0.7403	4.72E-02	Robust
chrX	124881898	124882127	EH38E4528827	CA	-1.0019	4.72E-02	Robust
chr11	122692510	122692752	EH38E2990743	dELS	-0.9129	4.72E-02	Robust
chr2	126646865	126647134	EH38E2030716	pELS	-0.9628	4.72E-02	Robust
chr5	91919284	91919524	EH38E4374098	CA-CTCF	-0.9628	4.72E-02	Robust
chr7	151554394	151554700	EH38E2601626	dELS	-0.9628	4.72E-02	Robust
chr14	103502413	103502579	EH38E3119072	dELS	-0.7216	4.72E-02	Robust
chr14	21315914	21316103	EH38E3085766	pELS	-1.0103	4.72E-02	Robust
chr15	78392451	78392801	EH38E3148701	dELS	-1.0103	4.72E-02	Robust
chr17	75321500	75321844	EH38E1885794	dELS	-1.0103	4.72E-02	Robust
chr3	160493598	160493933	EH38E4316702	CA	-1.0103	4.72E-02	Robust
chr3	154188834	154189171	EH38E3548418	dELS	-1.0103	4.72E-02	Robust
chr8	134475609	134475944	EH38E2670717	dELS	-1.0103	4.72E-02	Robust
chrX	41699880	41700198	EH38E3931883	dELS	-1.0103	4.72E-02	Robust
chr12	109883458	109883790	EH38E1643381	dELS	-0.9371	4.73E-02	Robust
chr9	131283980	131284245	EH38E3914094	pELS	-0.7992	4.73E-02	Robust
chr12	53133762	53134017	EH38E4064116	TF	-0.9626	4.73E-02	Robust
chr14	60594119	60594406	EH38E3098010	dELS	-1.0011	4.73E-02	Robust
chr4	168363699	168363900	EH38E3614682	dELS	-1.0011	4.73E-02	Robust
chr1	233459540	233459843	EH38E1432768	dELS	-0.9008	4.73E-02	Robust
chr8	101960500	101960701	EH38E3848959	dELS	-0.8870	4.73E-02	Robust
chr2	65092909	65093091	EH38E3348465	dELS	-0.9045	4.73E-02	Robust
chr20	54586640	54586860	EH38E3441958	dELS	-0.8025	4.73E-02	Robust
chr3	124333038	124333269	EH38E3535725	dELS	-0.9557	4.73E-02	Robust
chr3	119555946	119556221	EH38E4308732	pELS	-0.9393	4.73E-02	Robust
chr4	102713121	102713357	EH38E2316722	dELS	-0.9393	4.73E-02	Robust
chr12	102004309	102004626	EH38E4073512	dELS	-1.0080	4.73E-02	Robust
chr4	181676703	181676913	EH38E4356264	CA-TF	-1.0009	4.73E-02	Robust
chr3	65977351	65977506	EH38E4300211	dELS	-0.8445	4.73E-02	Robust
chr1	154337990	154338213	EH38E2839004	pELS	-0.9110	4.73E-02	Robust
chr3	144853610	144853811	EH38E4313809	CA	-0.9827	4.73E-02	Robust
chr14	65261495	65261727	EH38E1721833	dELS	-0.9036	4.74E-02	Robust
chr13	67229465	67229802	EH38E3069914	PLS	-0.9906	4.74E-02	Robust
chr2	67294286	67294536	EH38E2005737	dELS	-0.9906	4.74E-02	Robust
chr7	116697849	116698102	EH38E3795497	pELS	-0.9906	4.74E-02	Robust
chr6	170593443	170593593	EH38E4425918	TF	-0.9360	4.74E-02	Robust
chr1	4447157	4447372	EH38E2781026	dELS	-0.8321	4.74E-02	Robust
chr11	116669023	116669217	EH38E4050170	TF	-0.9953	4.74E-02	Robust
chr2	1375854	1376165	EH38E1967217	dELS	-0.9953	4.74E-02	Robust
chr4	24493703	24493993	EH38E4329762	dELS	-0.9747	4.74E-02	Robust
chr15	87243404	87243754	EH38E1785431	CA	-0.9952	4.74E-02	Robust
chr3	18852195	18852534	EH38E2183813	dELS	-0.9952	4.74E-02	Robust
chr1	99847296	99847617	EH38E2827226	dELS	-1.0076	4.74E-02	Robust
chr2	71851910	71852112	EH38E2008942	dELS	-0.8232	4.74E-02	Robust
chr11	65702969	65703122	EH38E1545476	dELS	-0.6711	4.74E-02	Robust
chr1	89293197	89293402	EH38E2823563	CA-H3K4me3	-0.9861	4.75E-02	Robust
chr11	88547410	88547612	EH38E4044844	CA	-0.9807	4.75E-02	Robust
chr17	78335269	78335514	EH38E3246599	dELS	-0.9807	4.75E-02	Robust
chr13	56693265	56693585	EH38E4088374	CA	-0.9962	4.75E-02	Robust
chr8	60744950	60745151	EH38E3836256	dELS	-0.9962	4.75E-02	Robust
chr7	153446586	153446797	EH38E3809896	dELS	-0.8383	4.75E-02	Robust
chr12	13069457	13069724	EH38E4057140	dELS	-0.9140	4.75E-02	Robust
chr12	127226353	127226597	EH38E3050233	CA-CTCF	-0.8531	4.75E-02	Robust
chr22	24955874	24956063	EH38E3472335	dELS	-0.9059	4.75E-02	Robust
chr5	173276909	173277116	EH38E3679391	dELS	-0.8794	4.75E-02	Robust
chr10	12204102	12204286	EH38E4001896	CA	-1.0043	4.75E-02	Robust
chr1	154966795	154967025	EH38E3980179	dELS	-0.8524	4.75E-02	Robust
chr7	143903281	143903543	EH38E4454205	TF	-0.8876	4.76E-02	Robust
chr13	31435618	31435917	EH38E4084189	CA	-1.0087	4.76E-02	Robust
chr4	160887668	160888017	EH38E2340440	dELS	-1.0087	4.76E-02	Robust
chr20	32281821	32282026	EH38E3427314	dELS	-0.8945	4.76E-02	Robust
chr11	123760267	123760560	EH38E4051750	CA	-0.9998	4.76E-02	Robust
chr3	70312207	70312546	EH38E3521988	CA-H3K4me3	-0.9998	4.76E-02	Robust
chrX	7574392	7574696	EH38E4512880	CA-TF	-0.9998	4.76E-02	Robust
chr6	94272431	94272622	EH38E4410947	CA-CTCF	-0.8352	4.76E-02	Robust
chr12	27697722	27697915	EH38E3008928	pELS	-0.9653	4.76E-02	Robust
chr4	113588970	113589162	EH38E3600747	dELS	-0.7979	4.76E-02	Robust
chr16	80568317	80568477	EH38E1830792	pELS	-1.0070	4.76E-02	Robust
chr7	153061953	153062245	EH38E4456279	CA-TF	-1.0070	4.76E-02	Robust
chr8	29443980	29444279	EH38E3826098	dELS	-1.0070	4.76E-02	Robust
chr6	41465763	41466103	EH38E4401658	dELS	-1.0084	4.76E-02	Robust
chr10	90621644	90621911	EH38E4016943	CA-TF	-0.9996	4.76E-02	Robust
chr13	33213381	33213716	EH38E3059820	dELS	-0.9996	4.76E-02	Robust
chr15	96066147	96066460	EH38E3156999	pELS	-0.9996	4.76E-02	Robust
chr16	67327766	67328114	EH38E3186589	pELS	-0.9996	4.76E-02	Robust
chr6	32816468	32816646	EH38E3701598	pELS	-0.9996	4.76E-02	Robust
chr7	104358720	104359067	EH38E4446017	dELS	-0.9996	4.76E-02	Robust
chr2	171261681	171261831	EH38E3384196	dELS	-0.8396	4.77E-02	Robust
chr4	145614311	145614516	EH38E3608294	dELS	-0.9817	4.77E-02	Robust
chrX	148808913	148809134	EH38E3947538	CA-CTCF	-0.9192	4.77E-02	Robust
chr7	4099392	4099553	EH38E4427326	dELS	-0.7269	4.77E-02	Robust
chr12	64955250	64955451	EH38E3024162	dELS	-0.8895	4.77E-02	Robust
chr4	148295748	148295914	EH38E4350384	CA-CTCF	-0.8534	4.77E-02	Robust
chr20	4732322	4732596	EH38E4254229	dELS	-0.9673	4.77E-02	Robust
chr2	186980136	186980337	EH38E2058928	dELS	-0.7833	4.77E-02	Robust
chr19	32818535	32818844	EH38E3300924	dELS	-0.8881	4.77E-02	Robust
chr10	66640134	66640371	EH38E4011627	CA	-0.9815	4.77E-02	Robust
chr10	89922191	89922520	EH38E1487480	dELS	-0.9815	4.77E-02	Robust
chr9	26959614	26959839	EH38E4493342	CA	-0.9145	4.78E-02	Robust
chr20	56382772	56382979	EH38E3442320	dELS	-0.9651	4.78E-02	Robust
chr7	105231372	105231594	EH38E2578485	dELS	-0.8630	4.78E-02	Robust
chr12	43109374	43109612	EH38E4061758	CA	-1.0014	4.78E-02	Robust
chr6	39474547	39474887	EH38E3706633	CA-CTCF	-1.0014	4.78E-02	Robust
chr15	58540537	58540751	EH38E3136668	dELS	-0.7886	4.78E-02	Robust
chr8	138971890	138972091	EH38E3864643	CA-CTCF	-0.8723	4.78E-02	Robust
chr12	124888762	124888952	EH38E3049520	dELS	-0.9977	4.78E-02	Robust
chr11	75623354	75623609	EH38E2973200	dELS	-0.9877	4.78E-02	Robust
chr16	57021750	57022033	EH38E3182855	pELS	-0.8641	4.78E-02	Robust
chr12	98469187	98469476	EH38E3035231	dELS	-0.9575	4.78E-02	Robust
chr1	44060872	44061147	EH38E2807891	dELS	-0.9191	4.78E-02	Robust
chr19	15209204	15209405	EH38E3293238	dELS	-0.9524	4.78E-02	Robust
chr2	221949740	221949914	EH38E4248123	CA	-0.9543	4.78E-02	Robust
chr1	47810493	47810811	EH38E2810031	dELS	-0.9716	4.78E-02	Robust
chrX	14698844	14699066	EH38E2743729	dELS	-0.9863	4.79E-02	Robust
chr15	79283619	79283968	EH38E4128188	PLS	-0.9367	4.79E-02	Robust
chr17	62984847	62985186	EH38E4168241	CA-TF	-0.9367	4.79E-02	Robust
chr18	4827484	4827817	EH38E3254640	dELS	-0.9367	4.79E-02	Robust
chr3	82012836	82013164	EH38E2217682	CA-CTCF	-0.9367	4.79E-02	Robust
chr3	65665958	65666271	EH38E3520438	dELS	-0.9367	4.79E-02	Robust
chr3	4425116	4425372	EH38E4287258	TF	-0.9367	4.79E-02	Robust
chr6	90386459	90386652	EH38E3720942	dELS	-0.9367	4.79E-02	Robust
chr9	129784929	129785271	EH38E2730860	dELS	-0.9367	4.79E-02	Robust
chr2	41521205	41521520	EH38E4213244	CA	-1.0075	4.79E-02	Robust
chr6	39298668	39298882	EH38E3706537	TF	-0.7805	4.79E-02	Robust
chr14	50527217	50527389	EH38E1712879	dELS	-0.9472	4.79E-02	Robust
chr4	189368292	189368477	EH38E3620825	dELS	-0.9472	4.79E-02	Robust
chr12	75415194	75415472	EH38E3027798	CA-CTCF	-0.9366	4.79E-02	Robust
chr5	148967449	148967654	EH38E3669234	dELS	-0.9366	4.79E-02	Robust
chr4	119100119	119100302	EH38E3601855	dELS	-0.8634	4.79E-02	Robust
chr21	44921329	44921496	EH38E3463164	pELS	-0.8333	4.79E-02	Robust
chr17	14295916	14296078	EH38E3210226	CA-H3K4me3	-0.8803	4.79E-02	Robust
chr20	61419619	61419932	EH38E4268180	CA	-0.8852	4.79E-02	Robust
chr1	60874169	60874378	EH38E2815250	dELS	-0.8073	4.80E-02	Robust
chr7	73501350	73501625	EH38E3779294	CA-CTCF	-0.7854	4.80E-02	Robust
chr1	209434087	209434426	EH38E2863283	dELS	-0.9943	4.80E-02	Robust
chr22	19400859	19401164	EH38E4277388	dELS	-0.9943	4.80E-02	Robust
chr8	17541331	17541512	EH38E2613186	dELS	-1.0038	4.80E-02	Robust
chr12	48859667	48859892	EH38E4062978	CA-H3K4me3	-0.8681	4.80E-02	Robust
chr9	36360990	36361194	EH38E4495033	CA	-0.8681	4.80E-02	Robust
chr5	38443451	38443727	EH38E2367007	CA-CTCF	-0.9820	4.80E-02	Robust
chr1	85459241	85459562	EH38E1363870	dELS	-0.9858	4.80E-02	Robust
chr19	16274033	16274292	EH38E3294044	dELS	-0.9858	4.80E-02	Robust
chr5	138487581	138487736	EH38E4382737	dELS	-0.9858	4.80E-02	Robust
chr17	70882544	70882890	EH38E3240416	CA-H3K4me3	-0.9692	4.80E-02	Robust
chr8	18835687	18836019	EH38E3820278	dELS	-0.9692	4.80E-02	Robust
chr3	184654412	184654743	EH38E2264615	dELS	-0.9819	4.80E-02	Robust
chr3	148460725	148460953	EH38E3545972	dELS	-0.9623	4.80E-02	Robust
chr5	148871429	148871687	EH38E4384761	CA	-0.9430	4.80E-02	Robust
chr1	161285505	161285802	EH38E3981479	CA-CTCF	-0.8229	4.80E-02	Robust
chr22	49843888	49844114	EH38E4286045	CA	-0.9748	4.81E-02	Robust
chr8	119021360	119021656	EH38E3853895	dELS	-0.8192	4.81E-02	Robust
chr9	93874375	93874530	EH38E4501144	CA-H3K4me3	-0.7916	4.81E-02	Robust
chr16	26395865	26396098	EH38E3174402	CA-CTCF	-0.9108	4.81E-02	Robust
chr8	61816495	61816696	EH38E4469926	CA	-1.0043	4.81E-02	Robust
chr10	122553428	122553632	EH38E1506545	dELS	-0.7705	4.81E-02	Robust
chr9	36991627	36991874	EH38E3882310	dELS	-0.8962	4.81E-02	Robust
chr2	100109557	100109800	EH38E3360275	dELS	-0.9438	4.81E-02	Robust
chr7	2957617	2957857	EH38E4427063	TF	-0.9680	4.81E-02	Robust
chrX	124524147	124524308	EH38E3943976	CA-CTCF	-0.9308	4.81E-02	Robust
chr13	100268861	100269076	EH38E4096414	CA-CTCF	-0.9437	4.81E-02	Robust
chr12	3667578	3667760	EH38E1588090	dELS	-0.9077	4.82E-02	Robust
chr3	9831356	9831523	EH38E4288550	CA-H3K4me3	-0.6540	4.82E-02	Robust
chr6	110255394	110255701	EH38E3726220	CA-CTCF	-0.9983	4.82E-02	Robust
chr1	213892106	213892260	EH38E1421000	dELS	-0.9566	4.82E-02	Robust
chr11	78226065	78226376	EH38E1555191	dELS	-0.9566	4.82E-02	Robust
chr11	3131402	3131611	EH38E4028035	TF	-0.9566	4.82E-02	Robust
chr11	111596388	111596594	EH38E4049082	dELS	-0.9566	4.82E-02	Robust
chr2	202904225	202904575	EH38E4244522	TF	-0.9566	4.82E-02	Robust
chr20	58102269	58102618	EH38E3444066	dELS	-0.9566	4.82E-02	Robust
chr4	13243234	13243509	EH38E4327627	TF	-0.9566	4.82E-02	Robust
chr5	98144729	98145078	EH38E3650809	dELS	-0.9566	4.82E-02	Robust
chr5	61894132	61894355	EH38E4369164	TF	-0.9566	4.82E-02	Robust
chr17	10415254	10415509	EH38E3209136	CA-CTCF	-0.9677	4.82E-02	Robust
chr22	19239520	19239870	EH38E3466959	pELS	-0.9677	4.82E-02	Robust
chrX	53321655	53321974	EH38E4520655	pELS	-0.9677	4.82E-02	Robust
chr10	5260886	5261158	EH38E2882937	CA-CTCF	-0.9745	4.82E-02	Robust
chr3	176440396	176440635	EH38E4319653	CA	-0.9745	4.82E-02	Robust
chr7	74192524	74192675	EH38E2563618	pELS	-0.9745	4.82E-02	Robust
chr11	10646053	10646307	EH38E2944354	dELS	-0.8118	4.82E-02	Robust
chr2	120235428	120235595	EH38E4228164	TF	-0.9055	4.83E-02	Robust
chr3	115628708	115629016	EH38E2229078	dELS	-0.9692	4.83E-02	Robust
chr19	3965595	3965809	EH38E1933711	dELS	-0.9873	4.83E-02	Robust
chr11	12355207	12355491	EH38E2945406	dELS	-0.9841	4.83E-02	Robust
chr13	28221375	28221654	EH38E4083634	dELS	-1.0032	4.83E-02	Robust
chr2	217275594	217275937	EH38E2074387	dELS	-1.0032	4.83E-02	Robust
chr7	17829045	17829385	EH38E4430067	CA	-1.0032	4.83E-02	Robust
chr8	61563220	61563567	EH38E3836619	dELS	-1.0032	4.83E-02	Robust
chr11	1770569	1770911	EH38E1514830	dELS	-0.9839	4.83E-02	Robust
chr15	82936009	82936308	EH38E1783197	dELS	-0.9406	4.83E-02	Robust
chr3	115540389	115540684	EH38E4308032	CA	-0.9889	4.83E-02	Robust
chr1	33379564	33379914	EH38E2801815	dELS	-1.0031	4.83E-02	Robust
chr12	112992528	112992722	EH38E3042037	dELS	-1.0031	4.83E-02	Robust
chr16	79753905	79754248	EH38E1830364	dELS	-1.0031	4.83E-02	Robust
chr17	35359469	35359715	EH38E1858342	CA-TF	-1.0031	4.83E-02	Robust
chr3	126858935	126859283	EH38E3537145	dELS	-1.0031	4.83E-02	Robust
chr6	50542004	50542344	EH38E2472219	dELS	-1.0031	4.83E-02	Robust
chr9	137724948	137725296	EH38E3921784	dELS	-1.0031	4.83E-02	Robust
chrX	14529349	14529618	EH38E2743691	PLS	-1.0031	4.83E-02	Robust
chr12	2687358	2687527	EH38E4054971	TF	-0.8698	4.84E-02	Robust
chr15	74112694	74113015	EH38E4126918	CA-TF	-0.9917	4.84E-02	Robust
chr20	8895592	8895845	EH38E4255077	TF	-1.0028	4.84E-02	Robust
chr15	97889637	97889889	EH38E1791483	dELS	-0.9710	4.84E-02	Robust
chr2	215453417	215453732	EH38E2072856	pELS	-1.0005	4.84E-02	Robust
chr20	36719658	36719859	EH38E3430326	dELS	-0.9431	4.84E-02	Robust
chr8	56667579	56667804	EH38E3834808	dELS	-0.8244	4.84E-02	Robust
chr10	66879488	66879739	EH38E1473876	dELS	-0.9914	4.84E-02	Robust
chr16	69902691	69903037	EH38E3188602	dELS	-0.9914	4.84E-02	Robust
chr16	23463760	23463953	EH38E3173349	dELS	-0.9495	4.84E-02	Robust
chr17	12991490	12991748	EH38E3209834	pELS	-0.9980	4.85E-02	Robust
chr5	143731679	143732022	EH38E3667613	dELS	-0.9980	4.85E-02	Robust
chr7	54747321	54747671	EH38E2558114	dELS	-0.9980	4.85E-02	Robust
chrX	17481129	17481433	EH38E4514783	CA	-0.9980	4.85E-02	Robust
chr7	130968830	130969002	EH38E3800365	dELS	-0.8431	4.85E-02	Robust
chr4	113184178	113184377	EH38E3600611	dELS	-0.9738	4.85E-02	Robust
chr12	101653128	101653329	EH38E1637923	dELS	-0.9542	4.85E-02	Robust
chr17	50848772	50849118	EH38E3230638	pELS	-0.9867	4.85E-02	Robust
chr16	80896824	80897083	EH38E1830964	dELS	-0.9875	4.85E-02	Robust
chr16	21576752	21577089	EH38E4138990	CA	-0.9152	4.85E-02	Robust
chr20	43465320	43465517	EH38E3433648	dELS	-0.8899	4.85E-02	Robust
chr9	122844217	122844439	EH38E4506824	dELS	-0.8899	4.85E-02	Robust
chr1	52572393	52572692	EH38E3965270	TF	-0.9865	4.85E-02	Robust
chr11	94302860	94303116	EH38E1561839	pELS	-0.9865	4.85E-02	Robust
chr12	96307578	96307925	EH38E3034631	dELS	-0.9865	4.85E-02	Robust
chr6	67920317	67920493	EH38E4406241	TF	-0.9865	4.85E-02	Robust
chr6	162488475	162488797	EH38E1269219	CA	-0.9540	4.85E-02	Robust
chr10	121037642	121037886	EH38E4023308	dELS	-0.9317	4.86E-02	Robust
chr18	55917863	55918045	EH38E4184285	CA	-0.7940	4.86E-02	Robust
chr8	56687793	56687975	EH38E2632627	dELS	-0.9050	4.86E-02	Robust
chr17	35024022	35024266	EH38E3219098	dELS	-0.9740	4.86E-02	Robust
chr19	13836365	13836647	EH38E3292084	PLS	-0.9740	4.86E-02	Robust
chr20	30610081	30610421	EH38E3426551	dELS	-0.9740	4.86E-02	Robust
chr6	11604301	11604560	EH38E3690852	dELS	-0.7938	4.86E-02	Robust
